Row,reno_cwnd,reno_cwnd_derivative,reno_cwnd_difference,cubic_cwnd,cubic_cwnd_derivative,cubic_cwnd_difference,yeah_cwnd,yeah_cwnd_derivative,yeah_cwnd_difference,vegas_cwnd,vegas_cwnd_derivative,vegas_cwnd_difference,reno_goodput,reno_goodput_derivative,reno_goodput_difference,cubic_goodput,cubic_goodput_derivative,cubic_goodput_difference,yeah_goodput,yeah_goodput_derivative,yeah_goodput_difference,vegas_goodput,vegas_goodput_derivative,vegas_goodput_difference,reno_rtt,reno_rtt_derivative,reno_rtt_difference,cubic_rtt,cubic_rtt_derivative,cubic_rtt_difference,yeah_rtt,yeah_rtt_derivative,yeah_rtt_difference,vegas_rtt,vegas_rtt_derivative,vegas_rtt_difference,reno_loss,reno_loss_derivative,reno_loss_difference,cubic_loss,cubic_loss_derivative,cubic_loss_difference,yeah_loss,yeah_loss_derivative,yeah_loss_difference,vegas_loss,vegas_loss_derivative,vegas_loss_difference
0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,-1,-1.0,0,-1,-1.0,0,-1,-1.0,0,-1,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2,1.0,0.5,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,-1,-0.5,0,-1,-0.5,0,-1,-0.5,0,-1,-0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
3,2.0,0.6666666666666666,1.0,4.0,1.3333333333333333,2.0,4.0,1.3333333333333333,2.0,1.0,0.3333333333333333,0.0,0,0.0,1,1,0.3333333333333333,2,1,0.3333333333333333,2,0,0.0,1,2.1,0.7000000000000001,2.1,2.1,0.7000000000000001,2.1,2.1,0.7000000000000001,2.1,2.1,0.7000000000000001,2.1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
4,2.0,0.5,0.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.25,0.0,0,0.0,0,1,0.25,0,1,0.25,0,0,0.0,0,2.1,0.525,0.0,2.1,0.525,0.0,2.1,0.525,0.0,2.1,0.525,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
5,4.0,0.8,2.0,8.0,1.6,4.0,8.0,1.6,4.0,3.0,0.6,2.0,2,0.4,2,5,1.0,4,5,1.0,4,1,0.2,1,2.1,0.42000000000000004,0.0,2.1,0.42000000000000004,0.0,2.1,0.42000000000000004,0.0,2.1,0.42000000000000004,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
6,4.0,0.6666666666666666,0.0,8.0,1.3333333333333333,0.0,8.0,1.3333333333333333,0.0,3.0,0.5,0.0,2,0.3333333333333333,0,5,0.8333333333333334,0,5,0.8333333333333334,0,1,0.16666666666666666,0,2.1,0.35000000000000003,0.0,2.1,0.35000000000000003,0.0,2.1,0.35000000000000003,0.0,2.1,0.35000000000000003,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
7,8.0,1.1428571428571428,4.0,16.0,2.2857142857142856,8.0,16.0,2.2857142857142856,8.0,3.0,0.42857142857142855,0.0,6,0.8571428571428571,4,13,1.8571428571428572,8,13,1.8571428571428572,8,4,0.5714285714285714,3,2.1,0.3,0.0,2.1,0.3,0.0,2.1,0.3,0.0,2.1,0.3,0.0,0,0.0,0,3,0.42857142857142855,3,3,0.42857142857142855,3,0,0.0,0
8,8.0,1.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,3.0,0.375,0.0,6,0.75,0,13,1.625,0,13,1.625,0,4,0.5,0,2.1,0.2625,0.0,2.1,0.2625,0.0,2.1,0.2625,0.0,2.1,0.2625,0.0,0,0.0,0,3,0.375,0,3,0.375,0,0,0.0,0
9,16.0,1.7777777777777777,8.0,27.0,3.0,11.0,27.0,3.0,11.0,6.0,0.6666666666666666,3.0,14,1.5555555555555556,8,24,2.6666666666666665,11,24,2.6666666666666665,11,7,0.7777777777777778,3,2.1,0.23333333333333334,0.0,2.1,0.23333333333333334,0.0,2.1,0.23333333333333334,0.0,2.1,0.23333333333333334,0.0,3,0.3333333333333333,3,9,1.0,6,9,1.0,6,0,0.0,0
10,16.0,1.6,0.0,27.0,2.7,0.0,27.0,2.7,0.0,6.0,0.6,0.0,14,1.4,0,24,2.4,0,24,2.4,0,7,0.7,0,2.1,0.21000000000000002,0.0,2.1,0.21000000000000002,0.0,2.1,0.21000000000000002,0.0,2.1,0.21000000000000002,0.0,3,0.3,0,9,0.9,0,9,0.9,0,0,0.0,0
11,13.0,1.1818181818181819,-3.0,21.0,1.9090909090909092,-6.0,13.0,1.1818181818181819,-14.0,6.0,0.5454545454545454,0.0,24,2.1818181818181817,10,24,2.1818181818181817,0,24,2.1818181818181817,0,13,1.1818181818181819,6,2.1,0.19090909090909092,0.0,2.1,0.19090909090909092,0.0,2.1,0.19090909090909092,0.0,2.1,0.19090909090909092,0.0,3,0.2727272727272727,0,9,0.8181818181818182,0,9,0.8181818181818182,0,0,0.0,0
12,13.0,1.0833333333333333,0.0,21.0,1.75,0.0,13.0,1.0833333333333333,0.0,6.0,0.5,0.0,24,2.0,0,24,2.0,0,24,2.0,0,13,1.0833333333333333,0,2.1,0.17500000000000002,0.0,2.1,0.17500000000000002,0.0,2.1,0.17500000000000002,0.0,2.1,0.17500000000000002,0.0,9,0.75,6,10,0.8333333333333334,1,9,0.75,0,0,0.0,0
13,13.077,1.005923076923077,0.07699999999999996,21.0,1.6153846153846154,0.0,12.0,0.9230769230769231,-1.0,12.0,0.9230769230769231,6.0,26,2.0,2,49,3.769230769230769,25,49,3.769230769230769,25,19,1.4615384615384615,6,2.1,0.16153846153846155,0.0,4.2,0.3230769230769231,2.1,4.2,0.3230769230769231,2.1,2.1,0.16153846153846155,0.0,9,0.6923076923076923,0,10,0.7692307692307693,0,9,0.6923076923076923,0,0,0.0,0
14,13.077,0.9340714285714286,0.0,21.0,1.5,0.0,12.0,0.8571428571428571,0.0,12.0,0.8571428571428571,0.0,26,1.8571428571428572,0,49,3.5,0,49,3.5,0,19,1.3571428571428572,0,2.1,0.15,0.0,4.2,0.3,0.0,4.2,0.3,0.0,2.1,0.15,0.0,9,0.6428571428571429,0,10,0.7142857142857143,0,9,0.6428571428571429,0,1,0.07142857142857142,1
15,13.077,0.8718,0.0,16.0,1.0666666666666667,-5.0,23.0,1.5333333333333334,11.0,12.0,0.8,0.0,26,1.7333333333333334,0,64,4.266666666666667,15,68,4.533333333333333,19,29,1.9333333333333333,10,2.1,0.14,0.0,4.2,0.28,0.0,2.101,0.14006666666666667,-2.099,2.1,0.14,0.0,9,0.6,0,10,0.6666666666666666,0,9,0.6,0,1,0.06666666666666667,0
16,13.077,0.8173125,0.0,16.0,1.0,0.0,23.0,1.4375,0.0,12.0,0.75,0.0,26,1.625,0,64,4.0,0,68,4.25,0,29,1.8125,0,2.1,0.13125,0.0,4.2,0.2625,0.0,2.101,0.1313125,0.0,2.1,0.13125,0.0,9,0.5625,0,10,0.625,0,13,0.8125,4,1,0.0625,0
17,1.0,0.058823529411764705,-12.077,18.0,1.0588235294117647,2.0,25.0,1.4705882352941178,2.0,20.0,1.1764705882352942,8.0,26,1.5294117647058822,0,99,5.823529411764706,35,84,4.9411764705882355,16,29,1.7058823529411764,0,2.1,0.12352941176470589,0.0,4.201,0.2471176470588235,0.0009999999999994458,2.1,0.12352941176470589,-0.0009999999999998899,2.1,0.12352941176470589,0.0,9,0.5294117647058824,0,10,0.5882352941176471,0,13,0.7647058823529411,0,1,0.058823529411764705,0
18,1.0,0.05555555555555555,0.0,18.0,1.0,0.0,25.0,1.3888888888888888,0.0,20.0,1.1111111111111112,0.0,26,1.4444444444444444,0,99,5.5,0,84,4.666666666666667,0,29,1.6111111111111112,0,2.1,0.11666666666666667,0.0,4.201,0.23338888888888887,0.0,2.1,0.11666666666666667,0.0,2.1,0.11666666666666667,0.0,9,0.5,0,10,0.5555555555555556,0,13,0.7222222222222222,0,1,0.05555555555555555,0
19,2.0,0.10526315789473684,1.0,18.0,0.9473684210526315,0.0,11.0,0.5789473684210527,-14.0,10.0,0.5263157894736842,-10.0,28,1.4736842105263157,2,117,6.157894736842105,18,86,4.526315789473684,2,49,2.5789473684210527,20,2.1,0.1105263157894737,0.0,2.1,0.1105263157894737,-2.1009999999999995,2.1,0.1105263157894737,0.0,2.1,0.1105263157894737,0.0,9,0.47368421052631576,0,10,0.5263157894736842,0,13,0.6842105263157895,0,1,0.05263157894736842,0
